Timestamp,Latitude,Longitude,Occupancy,Capacity,QueueLength,TrafficCongestion,IsSpecialDay,VehicleTypeWeight
2016-10-08 10:04:00,26.14453614,91.73617216,158,577,3,low,0,1.0
2016-10-08 10:30:00,26.14453614,91.73617216,191,577,3,average,0,1.5
2016-10-08 10:57:00,26.14453614,91.73617216,223,577,4,average,0,1.5
2016-10-08 11:30:00,26.14453614,91.73617216,254,577,4,average,0,1.0
2016-10-08 12:04:00,26.14453614,91.73617216,306,577,7,high,0,1.0
2016-10-08 12:30:00,26.14453614,91.73617216,320,577,8,high,0,1.0
2016-10-08 13:04:00,26.14453614,91.73617216,348,577,7,high,0,1.0
2016-10-08 13:30:00,26.14453614,91.73617216,357,577,7,high,0,1.0
2016-10-08 14:03:00,26.14453614,91.73617216,395,577,4,average,0,0.5
2016-10-08 14:30:00,26.14453614,91.73617216,400,577,4,average,0,1.0
2016-10-08 14:57:00,26.14453614,91.73617216,395,577,4,average,0,1.0
2016-10-08 15:30:00,26.14453614,91.73617216,406,577,3,average,0,1.0
2016-10-08 16:04:00,26.14453614,91.73617216,381,577,2,low,0,1.0
2016-10-08 16:30:00,26.14453614,91.73617216,365,577,2,low,0,1.5
2016-10-09 08:04:00,26.14453614,91.73617216,42,577,2,low,1,1.0
2016-10-09 08:30:00,26.14453614,91.73617216,42,577,2,low,1,0.5
2016-10-09 09:04:00,26.14453614,91.73617216,43,577,2,low,1,1.0
2016-10-09 09:30:00,26.14453614,91.73617216,43,577,2,low,1,1.0
2016-10-09 09:57:00,26.14453614,91.73617216,50,577,3,average,1,1.0
2016-10-09 10:30:00,26.14453614,91.73617216,64,577,5,high,1,1.0
2016-10-09 11:04:00,26.14453614,91.73617216,100,577,6,average,1,1.5
2016-10-09 11:30:00,26.14453614,91.73617216,126,577,6,average,1,1.0
2016-10-09 11:57:00,26.14453614,91.73617216,148,577,6,average,1,1.0
2016-10-09 12:30:00,26.14453614,91.73617216,170,577,9,high,1,1.5
2016-10-09 13:04:00,26.14453614,91.73617216,189,577,8,high,1,1.0
2016-10-09 13:30:00,26.14453614,91.73617216,205,577,9,high,1,0.5
2016-10-09 14:03:00,26.14453614,91.73617216,208,577,7,high,1,1.0
2016-10-09 14:30:00,26.14453614,91.73617216,209,577,5,average,1,1.0
2016-10-09 15:04:00,26.14453614,91.73617216,191,577,3,low,1,1.0
2016-10-09 15:30:00,26.14453614,91.73617216,180,577,3,low,1,1.0
2016-10-09 16:03:00,26.14453614,91.73617216,155,577,3,low,1,1.5
2016-10-09 16:30:00,26.14453614,91.73617216,133,577,2,low,1,1.0
2016-10-10 08:04:00,26.14453614,91.73617216,54,577,1,low,0,0.5
2016-10-10 08:30:00,26.14453614,91.73617216,56,577,1,low,0,1.5
2016-10-10 09:04:00,26.14453614,91.73617216,65,577,1,low,0,1.0
2016-10-10 09:30:00,26.14453614,91.73617216,73,577,2,low,0,0.5
2016-10-10 10:03:00,26.14453614,91.73617216,92,577,2,low,0,1.0
2016-10-10 10:30:00,26.14453614,91.73617216,113,577,4,average,0,1.0
2016-10-10 10:57:00,26.14453614,91.73617216,144,577,3,average,0,1.0
2016-10-10 11:30:00,26.14453614,91.73617216,149,577,4,average,0,1.0
2016-10-10 11:57:00,26.14453614,91.73617216,159,577,4,average,0,1.0
2016-10-10 12:30:00,26.14453614,91.73617216,171,577,6,high,0,1.0
2016-10-10 13:04:00,26.14453614,91.73617216,176,577,5,average,0,1.5
2016-10-10 13:30:00,26.14453614,91.73617216,172,577,6,high,0,1.0
2016-10-10 14:03:00,26.14453614,91.73617216,161,577,5,high,0,1.0
2016-10-10 14:30:00,26.14453614,91.73617216,154,577,3,average,0,1.0
2016-10-10 14:57:00,26.14453614,91.73617216,137,577,4,average,0,1.0
2016-10-10 15:30:00,26.14453614,91.73617216,129,577,1,low,0,0.5
2016-10-10 15:57:00,26.14453614,91.73617216,130,577,3,average,0,1.0
2016-10-10 16:30:00,26.14453614,91.73617216,114,577,2,low,0,1.5
2016-10-11 08:04:00,26.14453614,91.73617216,56,577,1,average,0,0.5
2016-10-11 08:30:00,26.14453614,91.73617216,64,577,1,low,0,1.0
2016-10-11 08:57:00,26.14453614,91.73617216,74,577,1,low,0,1.5
2016-10-11 09:30:00,26.14453614,91.73617216,93,577,2,low,0,0.5
2016-10-11 09:57:00,26.14453614,91.73617216,129,577,2,average,0,0.5
2016-10-11 10:30:00,26.14453614,91.73617216,167,577,3,average,0,1.0
2016-10-11 10:57:00,26.14453614,91.73617216,200,577,3,average,0,1.0
2016-10-11 11:30:00,26.14453614,91.73617216,219,577,5,average,0,1.0
2016-10-11 12:03:00,26.14453614,91.73617216,225,577,7,high,0,1.0
2016-10-11 12:30:00,26.14453614,91.73617216,221,577,8,high,0,1.0
2016-10-11 13:04:00,26.14453614,91.73617216,217,577,6,high,0,1.0
2016-10-11 13:31:00,26.14453614,91.73617216,217,577,6,high,0,1.0
2016-10-11 14:04:00,26.14453614,91.73617216,208,577,4,average,0,0.5
2016-10-11 14:30:00,26.14453614,91.73617216,191,577,3,average,0,1.0
2016-10-11 15:03:00,26.14453614,91.73617216,167,577,2,low,0,0.5
2016-10-11 15:33:00,26.14453614,91.73617216,159,577,2,low,0,1.0
2016-10-11 16:01:00,26.14453614,91.73617216,150,577,1,low,0,0.5
2016-10-11 16:26:00,26.14453614,91.73617216,127,577,2,low,0,1.0
2016-10-12 08:04:00,26.14453614,91.73617216,51,577,1,low,0,0.5
2016-10-12 08:31:00,26.14453614,91.73617216,57,577,2,low,0,1.0
2016-10-12 09:03:00,26.14453614,91.73617216,64,577,1,low,0,0.5
2016-10-12 09:26:00,26.14453614,91.73617216,73,577,1,low,0,1.0
2016-10-12 10:01:00,26.14453614,91.73617216,99,577,3,average,0,1.0
2016-10-12 10:31:00,26.14453614,91.73617216,112,577,3,average,0,0.5
2016-10-12 11:04:00,26.14453614,91.73617216,127,577,4,average,0,0.5
2016-10-12 11:31:00,26.14453614,91.73617216,128,577,4,average,0,1.0
2016-10-12 12:04:00,26.14453614,91.73617216,143,577,6,high,0,1.0
2016-10-12 12:31:00,26.14453614,91.73617216,158,577,5,average,0,1.0
2016-10-12 13:04:00,26.14453614,91.73617216,157,577,6,high,0,0.5
2016-10-12 13:34:00,26.14453614,91.73617216,164,577,6,high,0,1.0
2016-10-12 14:03:00,26.14453614,91.73617216,167,577,5,high,0,0.5
2016-10-12 14:34:00,26.14453614,91.73617216,159,577,4,average,0,0.5
2016-10-12 15:01:00,26.14453614,91.73617216,140,577,2,low,0,1.0
2016-10-12 15:30:00,26.14453614,91.73617216,128,577,2,low,0,1.5
2016-10-12 15:57:00,26.14453614,91.73617216,121,577,2,low,0,1.0
2016-10-12 16:31:00,26.14453614,91.73617216,111,577,2,average,0,1.0
2016-10-13 07:57:00,26.14453614,91.73617216,58,577,2,low,0,1.0
2016-10-13 08:31:00,26.14453614,91.73617216,65,577,1,low,0,1.0
2016-10-13 09:04:00,26.14453614,91.73617216,76,577,2,low,0,1.0
2016-10-13 09:31:00,26.14453614,91.73617216,97,577,2,low,0,1.0
2016-10-13 09:57:00,26.14453614,91.73617216,127,577,2,low,0,0.5
2016-10-13 10:31:00,26.14453614,91.73617216,166,577,4,average,0,1.0
2016-10-13 11:04:00,26.14453614,91.73617216,200,577,4,average,0,1.5
2016-10-13 11:31:00,26.14453614,91.73617216,220,577,4,average,0,1.0
2016-10-13 11:57:00,26.14453614,91.73617216,230,577,4,average,0,1.0
2016-10-13 12:31:00,26.14453614,91.73617216,231,577,7,high,0,1.0
2016-10-13 13:04:00,26.14453614,91.73617216,214,577,6,high,0,1.0
2016-10-13 13:31:00,26.14453614,91.73617216,203,577,6,high,0,1.0
2016-10-13 13:57:00,26.14453614,91.73617216,205,577,5,average,0,1.0
2016-10-13 14:31:00,26.14453614,91.73617216,181,577,4,average,0,1.5
2016-10-13 15:04:00,26.14453614,91.73617216,162,577,2,low,0,1.0
2016-10-13 15:31:00,26.14453614,91.73617216,144,577,2,low,0,1.0
2016-10-13 16:04:00,26.14453614,91.73617216,132,577,2,low,0,1.0
2016-10-13 16:31:00,26.14453614,91.73617216,130,577,2,low,0,1.0
2016-10-14 08:01:00,26.14453614,91.73617216,53,577,1,low,0,1.0
2016-10-14 08:27:00,26.14453614,91.73617216,57,577,1,low,0,1.0
2016-10-14 09:01:00,26.14453614,91.73617216,67,577,2,average,0,1.0
2016-10-14 09:27:00,26.14453614,91.73617216,100,577,2,low,0,1.0
2016-10-14 10:01:00,26.14453614,91.73617216,134,577,2,low,0,1.0
2016-10-14 10:27:00,26.14453614,91.73617216,157,577,3,low,0,1.0
2016-10-14 11:01:00,26.14453614,91.73617216,205,577,5,average,0,1.0
2016-10-14 11:27:00,26.14453614,91.73617216,220,577,5,average,0,1.0
2016-10-14 12:01:00,26.14453614,91.73617216,224,577,7,high,0,1.0
2016-10-14 12:27:00,26.14453614,91.73617216,213,577,5,average,0,0.5
2016-10-14 13:01:00,26.14453614,91.73617216,205,577,6,high,0,1.5
2016-10-14 13:27:00,26.14453614,91.73617216,201,577,7,high,0,1.0
2016-10-14 14:01:00,26.14453614,91.73617216,182,577,4,average,0,0.5
2016-10-14 14:34:00,26.14453614,91.73617216,174,577,3,average,0,0.5
2016-10-14 15:01:00,26.14453614,91.73617216,171,577,2,low,0,1.0
2016-10-14 15:27:00,26.14453614,91.73617216,161,577,2,low,0,0.5
2016-10-14 16:01:00,26.14453614,91.73617216,138,577,1,low,0,1.0
2016-10-14 16:34:00,26.14453614,91.73617216,134,577,2,low,0,1.0
2016-10-15 08:01:00,26.14453614,91.73617216,53,577,1,low,0,0.5
2016-10-15 08:34:00,26.14453614,91.73617216,63,577,1,low,0,1.0
2016-10-15 09:01:00,26.14453614,91.73617216,77,577,2,low,0,1.0
2016-10-15 09:27:00,26.14453614,91.73617216,101,577,2,low,0,1.0
2016-10-15 10:01:00,26.14453614,91.73617216,154,577,3,low,0,1.0
2016-10-15 10:27:00,26.14453614,91.73617216,171,577,3,low,0,1.0
2016-10-15 11:01:00,26.14453614,91.73617216,211,577,4,average,0,1.0
2016-10-15 11:27:00,26.14453614,91.73617216,239,577,4,average,0,1.0
2016-10-15 12:01:00,26.14453614,91.73617216,276,577,8,high,0,1.0
2016-10-15 12:27:00,26.14453614,91.73617216,297,577,8,high,0,1.0
2016-10-15 13:01:00,26.14453614,91.73617216,332,577,7,high,0,1.0
2016-10-15 13:34:00,26.14453614,91.73617216,352,577,8,high,0,1.0
2016-10-15 14:01:00,26.14453614,91.73617216,391,577,6,high,0,1.0
2016-10-15 14:27:00,26.14453614,91.73617216,409,577,4,average,0,1.0
2016-10-15 15:01:00,26.14453614,91.73617216,442,577,3,low,0,1.0
2016-10-15 15:27:00,26.14453614,91.73617216,428,577,3,low,0,0.5
2016-10-15 16:01:00,26.14453614,91.73617216,412,577,2,low,0,1.0
2016-10-15 16:27:00,26.14453614,91.73617216,393,577,2,low,0,0.5
2016-10-16 08:04:00,26.14453614,91.73617216,48,577,2,low,1,1.0
2016-10-16 08:27:00,26.14453614,91.73617216,48,577,2,low,1,0.5
2016-10-16 09:01:00,26.14453614,91.73617216,55,577,2,low,1,1.0
2016-10-16 09:27:00,26.14453614,91.73617216,57,577,2,low,1,1.0
2016-10-16 10:04:00,26.14453614,91.73617216,57,577,4,low,1,1.0
2016-10-16 10:34:00,26.14453614,91.73617216,56,577,3,average,1,0.5
2016-10-16 11:01:00,26.14453614,91.73617216,56,577,5,average,1,0.5
2016-10-16 11:27:00,26.14453614,91.73617216,56,577,4,average,1,1.5
2016-10-16 12:01:00,26.14453614,91.73617216,65,577,8,high,1,1.0
2016-10-16 12:27:00,26.14453614,91.73617216,105,577,9,high,1,0.5
2016-10-16 13:01:00,26.14453614,91.73617216,131,577,8,high,1,1.0
2016-10-16 13:27:00,26.14453614,91.73617216,146,577,6,average,1,1.0
2016-10-16 14:01:00,26.14453614,91.73617216,170,577,7,high,1,0.5
2016-10-16 14:27:00,26.14453614,91.73617216,180,577,5,average,1,1.0
2016-10-16 15:01:00,26.14453614,91.73617216,192,577,3,low,1,1.0
2016-10-16 15:31:00,26.14453614,91.73617216,185,577,3,low,1,0.5
2016-10-16 15:57:00,26.14453614,91.73617216,173,577,3,low,1,1.0
2016-10-16 16:31:00,26.14453614,91.73617216,154,577,3,average,1,1.0
2016-10-17 08:01:00,26.14453614,91.73617216,50,577,2,low,0,0.5
2016-10-17 08:27:00,26.14453614,91.73617216,54,577,1,low,0,0.5
2016-10-17 09:01:00,26.14453614,91.73617216,66,577,1,low,0,1.0
2016-10-17 09:27:00,26.14453614,91.73617216,76,577,2,low,0,1.5
2016-10-17 10:04:00,26.14453614,91.73617216,112,577,3,average,0,1.0
2016-10-17 10:31:00,26.14453614,91.73617216,119,577,5,high,0,0.5
2016-10-17 11:04:00,26.14453614,91.73617216,144,577,6,high,0,1.0
2016-10-17 11:31:00,26.14453614,91.73617216,153,577,6,high,0,1.0
2016-10-17 12:04:00,26.14453614,91.73617216,159,577,7,high,0,1.0
2016-10-17 12:31:00,26.14453614,91.73617216,154,577,7,high,0,1.0
2016-10-17 12:57:00,26.14453614,91.73617216,154,577,6,high,0,1.0
2016-10-17 13:31:00,26.14453614,91.73617216,157,577,6,high,0,0.5
2016-10-17 14:04:00,26.14453614,91.73617216,161,577,3,average,0,1.0
2016-10-17 14:31:00,26.14453614,91.73617216,147,577,4,high,0,1.0
2016-10-17 14:57:00,26.14453614,91.73617216,133,577,4,average,0,0.5
2016-10-17 15:31:00,26.14453614,91.73617216,121,577,2,low,0,0.5
2016-10-17 15:57:00,26.14453614,91.73617216,115,577,1,low,0,1.0
2016-10-17 16:28:00,26.14453614,91.73617216,110,577,2,low,0,1.5
2016-10-18 08:01:00,26.14453614,91.73617216,57,577,2,low,0,0.5
2016-10-18 08:28:00,26.14453614,91.73617216,60,577,2,low,0,1.0
2016-10-18 09:01:00,26.14453614,91.73617216,72,577,1,low,0,1.0
2016-10-18 09:28:00,26.14453614,91.73617216,91,577,2,low,0,0.5
2016-10-18 10:01:00,26.14453614,91.73617216,145,577,3,low,0,1.0
2016-10-18 10:28:00,26.14453614,91.73617216,178,577,2,low,0,1.0
2016-10-18 11:01:00,26.14453614,91.73617216,220,577,5,average,0,0.5
2016-10-18 11:27:00,26.14453614,91.73617216,228,577,5,average,0,1.0
2016-10-18 12:01:00,26.14453614,91.73617216,231,577,7,high,0,1.0
2016-10-18 12:27:00,26.14453614,91.73617216,224,577,7,high,0,1.5
2016-10-18 13:01:00,26.14453614,91.73617216,237,577,6,high,0,1.5
2016-10-18 13:28:00,26.14453614,91.73617216,227,577,6,high,0,1.0
2016-10-18 13:54:00,26.14453614,91.73617216,226,577,6,high,0,0.5
2016-10-18 14:27:00,26.14453614,91.73617216,200,577,3,average,0,1.0
2016-10-18 15:01:00,26.14453614,91.73617216,165,577,3,low,0,1.0
2016-10-18 15:27:00,26.14453614,91.73617216,157,577,2,low,0,1.0
2016-10-18 15:55:00,26.14453614,91.73617216,149,577,2,low,0,1.0
2016-10-18 16:27:00,26.14453614,91.73617216,124,577,2,low,0,1.0
2016-10-19 08:05:00,26.14453614,91.73617216,49,577,2,low,0,1.0
2016-10-19 08:25:00,26.14453614,91.73617216,51,577,1,low,0,1.0
2016-10-19 08:58:00,26.14453614,91.73617216,59,577,2,low,0,1.0
2016-10-19 09:32:00,26.14453614,91.73617216,76,577,2,low,0,0.5
2016-10-19 09:58:00,26.14453614,91.73617216,105,577,2,low,0,1.0
2016-10-19 10:25:00,26.14453614,91.73617216,135,577,3,low,0,1.0
2016-10-19 10:59:00,26.14453614,91.73617216,156,577,3,average,0,1.0
2016-10-19 11:25:00,26.14453614,91.73617216,177,577,4,average,0,1.0
2016-10-19 11:59:00,26.14453614,91.73617216,181,577,6,high,0,1.0
2016-10-19 12:25:00,26.14453614,91.73617216,171,577,7,high,0,1.0
2016-10-19 12:58:00,26.14453614,91.73617216,165,577,7,high,0,1.0
2016-10-19 13:25:00,26.14453614,91.73617216,167,577,6,high,0,0.5
2016-10-19 13:58:00,26.14453614,91.73617216,161,577,5,average,0,1.0
2016-10-19 14:32:00,26.14453614,91.73617216,156,577,3,average,0,1.0
2016-10-19 14:58:00,26.14453614,91.73617216,144,577,4,average,0,1.0
2016-10-19 15:32:00,26.14453614,91.73617216,127,577,1,low,0,1.0
2016-10-19 15:59:00,26.14453614,91.73617216,117,577,2,low,0,0.5
2016-10-19 16:25:00,26.14453614,91.73617216,110,577,2,low,0,1.0
2016-10-22 07:59:00,26.14453614,91.73617216,57,577,2,average,0,1.5
2016-10-22 08:26:00,26.14453614,91.73617216,59,577,1,average,0,1.0
2016-10-22 08:59:00,26.14453614,91.73617216,72,577,1,low,0,1.5
2016-10-22 09:26:00,26.14453614,91.73617216,93,577,2,low,0,1.0
2016-10-22 09:59:00,26.14453614,91.73617216,130,577,2,low,0,1.0
2016-10-22 10:26:00,26.14453614,91.73617216,156,577,3,low,0,1.0
2016-10-22 10:59:00,26.14453614,91.73617216,198,577,4,average,0,1.5
2016-10-22 11:32:00,26.14453614,91.73617216,239,577,4,average,0,1.0
2016-10-22 11:59:00,26.14453614,91.73617216,261,577,5,average,0,1.0
2016-10-22 12:32:00,26.14453614,91.73617216,324,577,8,high,0,1.0
2016-10-22 12:59:00,26.14453614,91.73617216,359,577,8,high,0,1.0
2016-10-22 13:32:00,26.14453614,91.73617216,380,577,7,high,0,1.0
2016-10-22 13:59:00,26.14453614,91.73617216,408,577,5,average,0,0.5
2016-10-22 14:39:00,26.14453614,91.73617216,430,577,4,average,0,1.5
2016-10-22 14:59:00,26.14453614,91.73617216,424,577,4,average,0,0.5
2016-10-22 15:26:00,26.14453614,91.73617216,403,577,3,low,0,1.0
2016-10-22 15:59:00,26.14453614,91.73617216,384,577,2,low,0,1.0
2016-10-22 16:26:00,26.14453614,91.73617216,340,577,2,low,0,1.0
2016-10-23 07:59:00,26.14453614,91.73617216,47,577,2,low,1,1.0
2016-10-23 08:26:00,26.14453614,91.73617216,48,577,2,low,1,0.5
2016-10-23 08:59:00,26.14453614,91.73617216,51,577,2,average,1,1.0
2016-10-23 09:26:00,26.14453614,91.73617216,50,577,3,average,1,1.0
2016-10-23 09:59:00,26.14453614,91.73617216,54,577,3,average,1,1.0
2016-10-23 10:26:00,26.14453614,91.73617216,60,577,3,low,1,1.0
2016-10-23 10:59:00,26.14453614,91.73617216,80,577,4,average,1,1.5
2016-10-23 11:26:00,26.14453614,91.73617216,107,577,6,average,1,1.0
2016-10-23 11:59:00,26.14453614,91.73617216,125,577,6,average,1,1.5
2016-10-23 12:26:00,26.14453614,91.73617216,144,577,9,high,1,1.0
2016-10-23 13:06:00,26.14453614,91.73617216,175,577,9,high,1,1.5
2016-10-23 13:26:00,26.14453614,91.73617216,192,577,9,high,1,0.5
2016-10-23 13:59:00,26.14453614,91.73617216,215,577,7,average,1,1.0
2016-10-23 14:26:00,26.14453614,91.73617216,226,577,5,average,1,1.0
2016-10-23 14:59:00,26.14453614,91.73617216,219,577,5,average,1,1.0
2016-10-23 15:26:00,26.14453614,91.73617216,215,577,3,low,1,1.5
2016-10-23 15:59:00,26.14453614,91.73617216,179,577,3,low,1,1.0
2016-10-23 16:26:00,26.14453614,91.73617216,150,577,3,low,1,1.0
2016-10-24 07:56:00,26.14453614,91.73617216,47,577,1,low,0,1.0
2016-10-24 08:29:00,26.14453614,91.73617216,55,577,1,low,0,1.0
2016-10-24 09:03:00,26.14453614,91.73617216,62,577,2,low,0,1.0
2016-10-24 09:30:00,26.14453614,91.73617216,73,577,2,low,0,1.5
2016-10-24 09:55:00,26.14453614,91.73617216,87,577,2,average,0,1.0
2016-10-24 10:30:00,26.14453614,91.73617216,114,577,3,average,0,1.0
2016-10-24 11:03:00,26.14453614,91.73617216,137,577,4,average,0,1.0
2016-10-24 11:29:00,26.14453614,91.73617216,155,577,4,average,0,1.0
2016-10-24 12:02:00,26.14453614,91.73617216,173,577,7,high,0,0.5
2016-10-24 12:30:00,26.14453614,91.73617216,191,577,7,high,0,1.5
2016-10-24 12:56:00,26.14453614,91.73617216,198,577,7,high,0,1.0
2016-10-24 13:30:00,26.14453614,91.73617216,208,577,6,high,0,1.0
2016-10-24 13:56:00,26.14453614,91.73617216,219,577,4,average,0,1.0
2016-10-24 14:30:00,26.14453614,91.73617216,215,577,3,average,0,1.5
2016-10-24 14:56:00,26.14453614,91.73617216,209,577,4,average,0,1.0
2016-10-24 15:32:00,26.14453614,91.73617216,209,577,2,low,0,1.0
2016-10-24 16:00:00,26.14453614,91.73617216,192,577,1,low,0,1.0
2016-10-24 16:33:00,26.14453614,91.73617216,175,577,2,average,0,0.5
2016-10-25 08:00:00,26.14453614,91.73617216,54,577,1,low,0,0.5
2016-10-25 08:26:00,26.14453614,91.73617216,55,577,1,low,0,1.0
2016-10-25 09:00:00,26.14453614,91.73617216,82,577,2,low,0,1.5
2016-10-25 09:19:00,26.14453614,91.73617216,95,577,2,low,0,1.0
2016-10-25 09:56:00,26.14453614,91.73617216,129,577,1,low,0,1.0
2016-10-25 10:29:00,26.14453614,91.73617216,173,577,2,low,0,1.0
2016-10-25 10:56:00,26.14453614,91.73617216,202,577,3,average,0,1.0
2016-10-25 11:29:00,26.14453614,91.73617216,249,577,5,average,0,0.5
2016-10-25 12:02:00,26.14453614,91.73617216,290,577,8,high,0,0.5
2016-10-25 12:29:00,26.14453614,91.73617216,303,577,8,high,0,1.0
2016-10-25 13:03:00,26.14453614,91.73617216,331,577,5,average,0,0.5
2016-10-25 13:29:00,26.14453614,91.73617216,345,577,7,high,0,1.0
2016-10-25 13:56:00,26.14453614,91.73617216,363,577,5,average,0,1.5
